2020-05-27 10:01:00,025+0000 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=83, satisfiedCount=2, toleratingCount=1, frustratedCount=0}
2020-05-27 10:01:00,026+0000 category: jira.administration.project.summary, apdex: {apdexScore=25, satisfiedCount=0, toleratingCount=1, frustratedCount=1}
2020-05-27 10:01:00,026+0000 category: jira.dialog.open.assign-issue-types-dialog, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2020-05-27 10:01:00,026+0000 category: jira.dialog.open.create-status-dialog, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2020-05-27 10:01:00,026+0000 category: jira.dialog.open.user-avatar-picker, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-27 10:01:00,026+0000 category: jira.dialog.open.edit-status-dialog, apdex: {apdexScore=100, satisfiedCount=4, toleratingCount=0, frustratedCount=0}
2020-05-27 10:01:00,026+0000 category: jira.dialog.open.project-avatar-picker, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2020-05-27 10:01:00,026+0000 category: jira.agile.work, apdex: {apdexScore=37, satisfiedCount=0, toleratingCount=3, frustratedCount=1}
2020-05-27 10:01:00,026+0000 category: jira.dialog.open.add-screen-scheme-item-dialog, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2020-05-27 10:01:00,027+0000 category: jira.dialog.open.add-field-screen-scheme-dialog, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-05-27 10:01:00,027+0000 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2020-05-27 10:01:00,027+0000 category: jira.dialog.open.add-field-screen-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-27 10:01:00,027+0000 category: jira.dialog.open.add-workflow-dialog, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2020-05-27 10:01:00,027+0000 category: jira.dialog.open.add-issue-type-screen-scheme-configuration-association-dialog, apdex: {apdexScore=100, satisfiedCount=4, toleratingCount=0, frustratedCount=0}
2020-05-27 10:01:00,027+0000 category: jira.header.menu.projects, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=2, frustratedCount=0}
2020-05-27 10:01:00,029+0000 category: overall, apdex: {apdexScore=85, satisfiedCount=31, toleratingCount=8, frustratedCount=2}
2020-05-27 10:01:00,029+0000 category: jira.dialog.open.add-issue-type-screen-scheme-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-27 10:01:00,029+0000 category: jira.dialog.open.add-issue-type-dialog, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2020-05-27 11:01:00,001+0000 category: jira.administration.project.summary, apdex: {apdexScore=33, satisfiedCount=0, toleratingCount=2, frustratedCount=1}
2020-05-27 11:01:00,001+0000 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-27 11:01:00,001+0000 category: jira.dashboard, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2020-05-27 11:01:00,002+0000 category: jira.agile.work, apdex: {apdexScore=62, satisfiedCount=1, toleratingCount=3, frustratedCount=0}
2020-05-27 11:01:00,002+0000 category: jira.dialog.open.edit-attachments-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-27 11:01:00,002+0000 category: jira.dialog.open.add-field-configuration-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-27 11:01:00,002+0000 category: jira.dialog.open.delete-permission-dialog, apdex: {apdexScore=100, satisfiedCount=7, toleratingCount=0, frustratedCount=0}
2020-05-27 11:01:00,002+0000 category: jira.dialog.open.add-permission-dialog, apdex: {apdexScore=75, satisfiedCount=9, toleratingCount=9, frustratedCount=0}
2020-05-27 11:01:00,002+0000 category: jira.dialog.open.whereismycf-dialog, apdex: {apdexScore=75, satisfiedCount=1, toleratingCount=1, frustratedCount=0}
2020-05-27 11:01:00,002+0000 category: jira.header.menu.projects, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=2, frustratedCount=0}
2020-05-27 11:01:00,002+0000 category: overall, apdex: {apdexScore=74, satisfiedCount=22, toleratingCount=17, frustratedCount=2}
2020-05-27 11:01:00,002+0000 category: jira.dialog.open.add-field-configuration-scheme-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-28 04:01:00,023+0000 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=5, toleratingCount=0, frustratedCount=0}
